interval_start_dt,interval_end_dt,system_load_mw,region_count,date,year,month,hour,day_of_week,dow_num,is_weekend,season,source,definition
2023-09-01T00:00:00,2023-09-01T01:00:00,66604.6,3,9/1/2023,2023,9,0,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T01:00:00,2023-09-01T02:00:00,64303.84,3,9/1/2023,2023,9,1,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T02:00:00,2023-09-01T03:00:00,62910.42,3,9/1/2023,2023,9,2,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T03:00:00,2023-09-01T04:00:00,62501.59,3,9/1/2023,2023,9,3,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T04:00:00,2023-09-01T05:00:00,63064.75,3,9/1/2023,2023,9,4,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T05:00:00,2023-09-01T06:00:00,65811.15,3,9/1/2023,2023,9,5,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T06:00:00,2023-09-01T07:00:00,68888.7,3,9/1/2023,2023,9,6,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T07:00:00,2023-09-01T08:00:00,70898.47,3,9/1/2023,2023,9,7,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T08:00:00,2023-09-01T09:00:00,73067.3,3,9/1/2023,2023,9,8,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T09:00:00,2023-09-01T10:00:00,76001.06,3,9/1/2023,2023,9,9,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
2023-09-01T10:00:00,2023-09-01T11:00:00,79097.04,3,9/1/2023,2023,9,10,Friday,4,FALSE,Fall,MISO_LGI_Actual_Load,"System load = sum of region loads (Central, North, South) for each hour."
